nbGenes;time;nodes;value;bound
2;0.01;0;0.05232573092948672;0.052017874816832906
4;0.012;0;0.49789470540469327;0.49737772411949066
6;0.015;0;0.35991602888706964;0.35963486730689415
8;0.018;0;0.8621150275101784;0.8613171600676315
10;0.054;6;2.095279243317438;2.094011559671939
12;0.045;0;0.7563030858564664;0.7555033911284386
14;0.045;0;2.14686431277896;2.1454668780896062
16;0.053;0;1.0861698764859549;1.084774993523593
18;0.067;0;2.414778576647032;2.413327956369884
20;0.071;0;1.5338558933000814;1.5320795321997538
