nbIndividuals;time;nodes;value;bound
2;0.011;0;12.987654320987655;12.98470897437732
6;0.021;0;3.859909190295819;3.8574795513495235
10;0.027;0;3.7567819444882278;3.754135231808087
14;0.032;0;1.9831694477015946;1.9812004795029754
18;0.022;0;1.6715061115210617;1.6708270819811797
22;0.035;0;0.1793193634939211;0.17908759314645575
26;0.025;0;0.1580193524825451;0.15788886110778477
30;0.09;0;0.23927971451340807;0.23913094255857592
34;0.066;0;0.057673396359363874;0.05737833978185603
38;0.036;0;0.05918390097549579;0.05876829720706214
42;0.035;0;0.08248103748383342;0.08152877106712154
46;0.06;0;0.032124491632321214;0.030575321760020115
50;0.045;0;0.002777560699270495;0.0012187666660703567
